Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
attlegendperks,progression,Attribute,,,Legend,,,,,,レジェンド,,,,Легенда,,传奇,傳奇
attLegendPerksDesc,progression,Attribute,,,Legend is the mastery of all attributes.\nPlease visit nexusmods for support or report bugs found on this mod.\nMod Version: 2.4\nMod ID: 6100,,,,,,伝説とは、全ての属性を極めることである。\nバグ報告やサポートはnexusまでお願いします。\nMod Version: 2.4\nMod ID: 6100,,,,Легенда — это мастерство всех атрибутов.\nПожалуйста посетите nexusmods для получения поддержки или сообщите об ошибках в этом моде.\nВерсия Мода: 2.4\nИдентификатор Мода: 6100,,传奇是所有属性的精通。\n请访问nexusmods寻求支持或报告在此mod上发现的bugs。\nMod版本：2.4\nMod ID：6100,傳奇是所有屬性的掌握。\n請造訪NexusMods以取得支援或報告在此Mod上發現的錯誤。\n模組版本：2.4\n模組編號：6100
attLegendPerksName,progression,Attribute,,,Attribute: Legend,,,,,,特性: レジェンド,,,,Атрибуты: Легенда,,属性：传奇,屬性：傳奇
attLegendPerks01Desc,progression,Attribute,,,Additional Skill Point,,,,,,特性スキルポイント,,,,Дополнительное очко навыка,,额外技能点,額外技能點
attLegendPerks01LongDesc,progression,Attribute,,,Gain an additional skill point per level up.\nRebalance required experience.,,,,,,レベルアップ毎にスキルポイントが追加。\n必要な経験値の再調整。,,,,Получайте дополнительное очко навыка за каждый уровень.\nПеребалансировка требуемого опыта.,,每升一级可获得一个额外的技能点。\n重新平衡所需的经验值。,每升一級獲得一個額外的技能點數。\n重新平衡所需的經驗值。
attLegendPerks02Desc,progression,Attribute,,,Unlock Legend Perks,,,,,,レジェンドパークの解放,,,,Разблокируйте легендарные перки,,解锁传奇技能,解鎖傳奇技能
attLegendPerks02LongDesc,progression,Attribute,,,Unlock 51 new perks.,,,,,,51の新しいパークの解放。,,,,Разблокируйте 51 новый перк.,,解锁51项新技能。,解鎖 51 項新技能。
attLegendPerks03Desc,progression,Attribute,,,The Legend (Optional),,,,,,The Legend (オプション),,,,Легенда (опционально),,传奇（自选）,傳奇（可選）
attLegendPerks03LongDesc,progression,Attribute,,,"At night.. Increases XP gained and loot dropped from kills, but at the cost of dangerous enemies.\n(Can be reset by using 'Grandpa's Fergit'n Elixir'.)",,,,,,"夜になると… 獲得経験値や敵が落とす戦利品が増えるが、その代償として、危険な敵がやってくる。\n(「おじいちゃんの健忘エリクサー」でリセット可能。)",,,,"Ночью.. Увеличивает опыт, получаемый и добыча дропа от убийств, но за счет опасный врагов.\n(Можно сбросить, используя Дедушкин элексир слабой памяти.)",,"夜晚时……增加击杀所获得的经验值和战利品掉落的几率，但代价是更危险的敌人。\n（可以使用‘祖父的遗忘妙药’重置。）","夜間時……增加擊殺後獲得的經驗值和戰利品掉落的機率，但代價是更危險的敵人。\n（可以使用「遺忘聖水」重置。）"
attLegendPerks04Desc,progression,Attribute,,,Dying Light (Optional),,,,,,Dying Light (オプション),,,,Умирающий Свет (опционально),,消逝的光芒（自选）,消逝的光芒（可選）
